Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
"Byer, øer og landskaber",Hvilken halvø rummer Nationalpark Mols Bjerge?,300,Djursland,Hindsholm,Odsherred,Salling,,,,Nationalpark Mols Bjerge – Lex,https://lex.dk/Nationalpark_Mols_Bjerge,OK_KILDE_TILFØJET,2026-07-09,Underbygger Nationalpark Mols Bjerge på Djursland.
"Byer, øer og landskaber",Hvilken fjord skærer sig fra Thyborøn gennem Nordjylland til Hals?,400,Limfjorden,Roskilde Fjord,Isefjord,Ringkøbing Fjord,,,,Limfjorden – Lex,https://lex.dk/Limfjorden,OK_KILDE_TILFØJET,2026-07-09,Underbygger Limfjordens forløb fra Thyborøn til Hals.
"Byer, øer og landskaber","Hvilken øgruppe ligger syd for Fyn og omfatter blandt andet Ærø, Tåsinge og Langeland?",500,Det Sydfynske Øhav,Ertholmene,Smålandsfarvandet,Vadehavsøerne,,,,Det Sydfynske Øhav – Lex,https://lex.dk/Det_Sydfynske_%C3%98hav,OK_KILDE_TILFØJET,2026-07-09,"Underbygger Det Sydfynske Øhav, Ærø, Tåsinge og Langeland."
"Byer, øer og landskaber",Hvilken lille øgruppe øst for Bornholm omfatter Christiansø og Frederiksø?,600,Ertholmene,Hirsholmene,Romsøgruppen,Saltholmene,,,,Ertholmene – Lex,https://lex.dk/Ertholmene,OK_KILDE_TILFØJET,2026-07-09,Underbygger Ertholmene med Christiansø og Frederiksø.
"Byer, øer og landskaber","Hvilken by ligger nær Grenen, hvor Skagerrak og Kattegat mødes?",700,Skagen,Hirtshals,Frederikshavn,Sæby,,,,Skagen – Lex,https://lex.dk/Skagen,OK_KILDE_TILFØJET,2026-07-09,"Underbygger Skagen nær Grenen, hvor Skagerrak og Kattegat mødes."
"Byer, øer og landskaber",Hvilken dansk købstad regnes almindeligvis som landets ældste by?,800,Ribe,Viborg,Roskilde,Odense,,,,Ribe – Lex,https://lex.dk/Ribe,OK_KILDE_TILFØJET,2026-07-09,Underbygger Ribe som almindeligvis regnet for Danmarks ældste by.
Oldtid og middelalder,Hvem dræbte grev Gerhard 3. i Randers i 1340 ifølge den historiske tradition?,100,Niels Ebbesen,Skipper Clement,Marsk Stig,Absalon,,,,Niels Ebbesen – Lex,https://lex.dk/Niels_Ebbesen,OK_KILDE_TILFØJET,2026-07-09,Underbygger traditionen om Niels Ebbesen og grev Gerhard 3. i Randers.
Oldtid og middelalder,Hvilken epidemi ramte Danmark omkring 1350 og reducerede befolkningen kraftigt?,200,Den sorte død,kopper,kolera,den spanske syge,,,,Den sorte død – Lex,https://lex.dk/Den_sorte_d%C3%B8d,OK_KILDE_TILFØJET,2026-07-09,Underbygger epidemien omkring 1350.
Oldtid og middelalder,"Hvilken union mellem Danmark, Norge og Sverige blev formelt etableret i 1397?",300,Kalmarunionen,Hanseforbundet,Nordsøimperiet,Den Nordiske Liga,,,,"Danmarks Rige og Kalmarunionen, 1397-1523 – Danmarkshistorien | Lex",https://danmarkshistorien.lex.dk/Danmarks_Rige_og_Kalmarunionen%2C_1397-1523,OK_KILDE_TILFØJET,2026-07-09,Underbygger Kalmarunionen og Margrete 1.s centrale rolle.
Oldtid og middelalder,Hvilken konge grundlagde Københavns Universitet i 1479?,400,Christian 1.,Christian 2.,Hans,Frederik 1.,,,,Københavns Universitet – Lex,https://lex.dk/K%C3%B8benhavns_Universitet,OK_KILDE_TILFØJET,2026-07-09,Underbygger Københavns Universitets grundlæggelse i 1479 af Christian 1.
Oldtid og middelalder,Hvilken ærkebiskop og statsmand forbindes med opførelsen af en borg ved Havn i 1100-tallet?,500,Absalon,Ansgar,Eskil,Anders Sunesen,,,,Absalon – Lex,https://lex.dk/Absalon,OK_KILDE_TILFØJET,2026-07-09,Underbygger Absalon og borgen ved Havn/København.
Oldtid og middelalder,Hvilken handelsorganisation dominerede meget af Østersøhandelen i senmiddelalderen?,600,Hanseforbundet,Kalmarunionen,Templerordenen,Hollandsk Ostindisk Kompagni,,,,Hanseforbundet – Lex,https://lex.dk/Hanseforbundet,OK_KILDE_TILFØJET,2026-07-09,Underbygger Hanseforbundets rolle i Østersøhandelen.
Oldtid og middelalder,Hvad kaldes de malede bibelske og folkelige billeder i mange danske middelalderkirker?,700,kalkmalerier,mosaikker,ikonostaser,træsnit,,,,kalkmalerier – Lex,https://lex.dk/kalkmalerier,OK_KILDE_TILFØJET,2026-07-09,Underbygger danske middelalderkirkers kalkmalerier.
Kulturhistorie og samfund,Hvilken sangbog udkom første gang i 1894 og blev central i højskolebevægelsens fællessang?,100,Højskolesangbogen,Koralbogen,Den Danske Salmebog,Folkevisesamlingen,,,,Højskolesangbogen – Lex,https://lex.dk/H%C3%B8jskolesangbogen,OK_KILDE_TILFØJET,2026-07-09,Underbygger Højskolesangbogen og første udgave 1894.
Kulturhistorie og samfund,Hvilken roman af Aksel Sandemose introducerede begrebet Janteloven?,200,En flygtning krydser sit spor,Lykke-Per,Kongens fald,Hærværk,,,,Janteloven – Lex,https://lex.dk/Janteloven,OK_KILDE_TILFØJET,2026-07-09,Underbygger Janteloven og Aksel Sandemoses roman En flygtning krydser sit spor.
Kulturhistorie og samfund,Hvilken valutaenhed blev indført i Danmark ved den skandinaviske møntunion i 1875?,300,kronen,marken,daleren,gylden,,,,kronen – møntenhed – Lex,https://lex.dk/kronen_-_m%C3%B8ntenhed,OK_KILDE_TILFØJET,2026-07-09,Underbygger kronen som dansk valutaenhed indført ved den skandinaviske møntunion.
Kulturhistorie og samfund,Hvilket landsdækkende personregister blev indført i Danmark i 1968?,400,CPR-registeret,Matrikelregisteret,CVR-registeret,BBR-registeret,,,,CPR – Lex,https://lex.dk/CPR,OK_KILDE_TILFØJET,2026-07-09,Underbygger CPR-registeret og indførelsen i 1968.
Kulturhistorie og samfund,Hvilken konge oprettede et organiseret dansk postvæsen i 1624?,500,Christian 4.,Frederik 3.,Christian 5.,Frederik 4.,,,,postvæsen – Lex,https://lex.dk/postv%C3%A6sen,OK_KILDE_TILFØJET,2026-07-09,Underbygger Christian 4.s oprettelse af dansk postvæsen i 1624.
Kulturhistorie og samfund,"Hvad hed den versificerede avis, som Anders Bording begyndte at udgive i 1666?",600,Den Danske Mercurius,Adresseavisen,Berlingske Tidende,Fædrelandet,,,,Den Danske Mercurius – Lex,https://lex.dk/Den_Danske_Mercurius,OK_KILDE_TILFØJET,2026-07-09,Underbygger Anders Bordings versificerede avis fra 1666.
Kulturhistorie og samfund,Hvilken lov fra 1920 lagde grund for et landsdækkende system af offentlige biblioteker?,700,biblioteksloven,folkeskoleloven,presseloven,arkivloven,,,,biblioteksloven – Lex,https://lex.dk/biblioteksloven,OK_KILDE_TILFØJET,2026-07-09,Underbygger biblioteksloven fra 1920 og det offentlige bibliotekssystem.
